,date,country,activity,fatal_(y/n),month,australia
0,25-jun-2018,usa,other_activities,no,june,
1,18-jun-2018,usa,other_activities,no,june,
2,09-jun-2018,usa,surfing,no,june,
3,08-jun-2018,australia,surfing,no,june,australia
4,04-jun-2018,mexico,swimming,no,june,
5,03-jun-2018,australia,surfing,no,june,australia
6,03-jun-2018,brazil,swimming,yes,june,
7,27-may-2018,usa,fishing,no,may,
8,26-may-2018,usa,other_activities,no,may,
9,26-may-2018,usa,other_activities,no,may,
10,24-may-2018,australia,other_activities,no,may,australia
11,21-may-2018,usa,other_activities,no,may,
12,13-may-2018,usa,swimming,no,may,
13,13-may-2018,england,fishing,no,may,
14,may_2018,australia,other_activities,no,may,australia
15,12-may-2018,south_africa,surfing,no,may,
16,09-may-2018,australia,surfing,no,may,australia
17,reported_30-apr-2018,thailand,swimming,no,april,
18,28-apr-2018,costa_rica,swimming,no,april,
19,28-apr-2018,australia,surfing,no,april,australia
20,25-apr-2018,australia,surfing,no,april,australia
21,25-apr-2018,australia,surfing,no,april,australia
22,24-apr-2018,australia,surfing,no,april,australia
23,23-apr-2018,maldives,fishing,no,april,
24,22-apr-2018,south_africa,other_activities,no,april,
25,19-apr-2018,usa,other_activities,no,april,
26,15-apr-2018,thailand,swimming,no,april,
27,15-apr-2018,brazil,swimming,no,april,
28,15-apr-2018,australia,surfing,no,april,australia
29,15-apr-2018,australia,surfing,no,april,australia
30,14-apr-2018,bahamas,surfing,no,april,
31,reported_10-apr-2018,brazil,fishing,no,april,
32,09-apr-2018,new_caledonia,surfing,no,april,
33,05-apr-2018,bahamas,swimming,no,april,
34,03-apr-2018,south_africa,surfing,no,april,
35,31-mar-2018,usa,other_activities,no,march,
36,14-mar-2018,australia,other_activities,no,march,australia
37,9-mar-2018,australia,swimming,no,march,australia
38,9-mar-2018,australia,surfing,no,march,australia
39,24-feb-2018,south_africa,swimming,no,february,
40,23-feb-2018,australia,swimming,no,february,australia
41,18-feb-2018,australia,fishing,no,february,australia
42,15-feb-2018,australia,other_activities,no,february,australia
43,14-feb-2018,australia,swimming,no,february,australia
44,11-feb-2018,brazil,fishing,no,february,
45,03-feb-2018,ecuador,swimming,no,february,
46,01-feb-2018,australia,fishing,no,february,australia
47,28-jan-2018,australia,other_activities,no,january,australia
48,21-jan-2018,new_caledonia,fishing,no,january,
49,14-jan-2018,australia,swimming,no,january,australia
50,13-jan-2018,australia,swimming,no,january,australia
51,12-jan-2018,brazil,surfing,no,january,
52,05-jan-2018,australia,surfing,no,january,australia
53,31-dec-2017,usa,surfing,no,december,
54,30-dec-2017,usa,surfing,no,december,
55,21-dec-2017,malaysia,fishing,no,december,
56,09-dec-2017,bahamas,swimming,no,december,
57,30-nov-2017,costa_rica,swimming,no,november,
58,30-nov-2017,costa_rica,swimming,yes,november,
59,reported_25-nov-2017,libya,boat,yes,november,
60,24-nov-2017,usa,fishing,no,november,
61,18-nov-2017,usa,surfing,no,november,
62,reported_13-nov-2017,nan,surfing,no,november,
63,13-nov-2017,australia,surfing,no,november,australia
64,04-nov-2017,cuba,swimming,yes,november,
65,reported_31-oct-2017,australia,swimming,no,october,australia
66,28-oct-2017,australia,surfing,no,october,australia
67,26-oct-2017,usa,other_activities,no,october,
68,23-oct-2017,mauritius,swimming,no,october,
69,23-oct-2017,usa,surfing,no,october,
70,23-oct-2017,usa,swimming,no,october,
71,22-oct-2017,australia,fishing,no,october,australia
72,21-oct-2017,new_zealand,other_activities,no,october,
73,18-oct-2017,usa,swimming,no,october,
74,09-oct-2017,usa,surfing,no,october,
75,05-oct-2017,usa,swimming,no,october,
76,01-oct-2017,south_africa,swimming,no,october,
77,25-sep-2017,usa,surfing,no,september,
78,25-sep-2017,australia,surfing,no,september,australia
79,24-sep-2017,usa,surfing,no,september,
80,24-sep-2017,usa,surfing,no,september,
81,20-sep-2017,usa,surfing,no,september,
82,16-sep-2017,spain,surfing,no,september,
83,16-sep-2017,usa,surfing,no,september,
84,15-sep-2017,south_africa,swimming,no,september,
85,15-sep-2017,samoa,fishing,no,september,
86,sep-2017,australia,fishing,no,september,australia
87,13-sep-2017,usa,surfing,no,september,
88,10-sep-2017,australia,swimming,no,september,australia
89,10-sep-2017,australia,surfing,no,september,australia
90,reported_06-sep-2017,solomon_islands,fishing,no,september,
