,activity,fatal_(y/n),month,australia,season
0,other_activities,no,june,,winter
1,other_activities,no,june,,winter
2,surfing,no,june,,winter
3,surfing,no,june,australia,winter
4,swimming,no,june,,winter
5,surfing,no,june,australia,winter
6,swimming,yes,june,,winter
7,fishing,no,may,,autumn
8,other_activities,no,may,,autumn
9,other_activities,no,may,,autumn
10,other_activities,no,may,australia,autumn
11,other_activities,no,may,,autumn
12,swimming,no,may,,autumn
13,fishing,no,may,,autumn
14,other_activities,no,may,australia,autumn
15,surfing,no,may,,autumn
16,surfing,no,may,australia,autumn
17,swimming,no,april,,autumn
18,swimming,no,april,,autumn
19,surfing,no,april,australia,autumn
20,surfing,no,april,australia,autumn
21,surfing,no,april,australia,autumn
22,surfing,no,april,australia,autumn
23,fishing,no,april,,autumn
24,other_activities,no,april,,autumn
25,other_activities,no,april,,autumn
26,swimming,no,april,,autumn
27,swimming,no,april,,autumn
28,surfing,no,april,australia,autumn
29,surfing,no,april,australia,autumn
30,surfing,no,april,,autumn
31,fishing,no,april,,autumn
32,surfing,no,april,,autumn
33,swimming,no,april,,autumn
34,surfing,no,april,,autumn
35,other_activities,no,march,,autumn
36,other_activities,no,march,australia,autumn
37,swimming,no,march,australia,autumn
38,surfing,no,march,australia,autumn
39,swimming,no,february,,summer
40,swimming,no,february,australia,summer
41,fishing,no,february,australia,summer
42,other_activities,no,february,australia,summer
43,swimming,no,february,australia,summer
44,fishing,no,february,,summer
45,swimming,no,february,,summer
46,fishing,no,february,australia,summer
47,other_activities,no,january,australia,summer
48,fishing,no,january,,summer
49,swimming,no,january,australia,summer
50,swimming,no,january,australia,summer
51,surfing,no,january,,summer
52,surfing,no,january,australia,summer
53,surfing,no,december,,summer
54,surfing,no,december,,summer
55,fishing,no,december,,summer
56,swimming,no,december,,summer
57,swimming,no,november,,spring
58,swimming,yes,november,,spring
59,boat,yes,november,,spring
60,fishing,no,november,,spring
61,surfing,no,november,,spring
62,surfing,no,november,,spring
63,surfing,no,november,australia,spring
64,swimming,yes,november,,spring
65,swimming,no,october,australia,spring
66,surfing,no,october,australia,spring
67,other_activities,no,october,,spring
68,swimming,no,october,,spring
69,surfing,no,october,,spring
70,swimming,no,october,,spring
71,fishing,no,october,australia,spring
72,other_activities,no,october,,spring
73,swimming,no,october,,spring
74,surfing,no,october,,spring
75,swimming,no,october,,spring
76,swimming,no,october,,spring
77,surfing,no,september,,spring
78,surfing,no,september,australia,spring
79,surfing,no,september,,spring
80,surfing,no,september,,spring
81,surfing,no,september,,spring
82,surfing,no,september,,spring
83,surfing,no,september,,spring
84,swimming,no,september,,spring
85,fishing,no,september,,spring
86,fishing,no,september,australia,spring
87,surfing,no,september,,spring
88,swimming,no,september,australia,spring
89,surfing,no,september,australia,spring
90,fishing,no,september,,spring
91,swimming,yes,september,,spring
92,surfing,no,september,,spring
93,swimming,no,september,,spring
94,swimming,no,september,,spring
95,surfing,no,september,,spring
96,surfing,no,august,australia,winter
97,other_activities,no,august,,winter
98,swimming,no,august,,winter
99,other_activities,no,august,,winter
100,other_activities,no,august,,winter
101,fishing,no,august,,winter
102,swimming,no,august,,winter
103,swimming,no,august,,winter
104,fishing,no,august,,winter
105,fishing,no,august,,winter
106,other_activities,no,july,,winter
107,swimming,no,july,,winter
108,other_activities,no,july,,winter
109,swimming,no,july,,winter
110,fishing,no,july,,winter
111,surfing,no,july,,winter
112,other_activities,no,july,,winter
113,swimming,no,july,,winter
114,other_activities,no,july,,winter
115,swimming,no,july,,winter
116,other_activities,no,july,,winter
117,other_activities,no,july,,winter
118,surfing,no,july,,winter
119,surfing,no,july,australia,winter
120,other_activities,no,july,,winter
121,swimming,no,july,,winter
122,fishing,no,july,,winter
123,surfing,no,july,,winter
124,fishing,no,july,,winter
125,fishing,no,june,,winter
126,swimming,no,june,,winter
127,surfing,no,june,,winter
128,swimming,no,june,,winter
129,other_activities,no,june,,winter
130,swimming,no,june,,winter
131,surfing,no,,,
132,other_activities,no,june,,winter
133,other_activities,no,june,australia,winter
134,surfing,no,june,australia,winter
135,surfing,no,june,,winter
136,surfing,no,june,,winter
137,fishing,no,june,,winter
138,swimming,no,june,,winter
139,other_activities,no,may,,autumn
140,other_activities,no,may,,autumn
141,fishing,no,may,australia,autumn
142,fishing,no,may,,autumn
143,other_activities,no,may,australia,autumn
144,swimming,yes,may,,autumn
145,surfing,no,may,,autumn
146,swimming,no,april,,autumn
147,surfing,no,april,,autumn
148,surfing,no,april,,autumn
149,other_activities,yes,april,,autumn
150,other_activities,no,april,,autumn
151,other_activities,no,april,,autumn
152,swimming,no,april,,autumn
153,swimming,no,april,,autumn
154,other_activities,no,april,,autumn
155,surfing,yes,april,australia,autumn
156,surfing,no,april,,autumn
157,surfing,no,april,,autumn
158,surfing,no,april,,autumn
159,swimming,no,april,,autumn
160,surfing,no,april,,autumn
161,other_activities,no,april,,autumn
162,swimming,no,april,,autumn
163,swimming,no,april,,autumn
164,swimming,no,april,,autumn
165,other_activities,no,april,australia,autumn
166,swimming,no,april,,autumn
167,surfing,no,march,,autumn
168,other_activities,no,march,australia,autumn
169,other_activities,no,march,,autumn
170,fishing,no,march,,autumn
171,other_activities,no,march,,autumn
172,swimming,no,february,australia,summer
173,surfing,no,february,australia,summer
174,other_activities,yes,february,,summer
175,fishing,no,february,australia,summer
176,swimming,no,february,,summer
177,other_activities,no,february,,summer
178,fishing,no,february,,summer
179,other_activities,no,february,,summer
180,swimming,no,february,,summer
181,swimming,no,january,,summer
182,other_activities,no,january,,summer
183,swimming,no,january,australia,summer
184,swimming,no,january,australia,summer
185,other_activities,no,january,,summer
186,surfing,no,january,,summer
187,fishing,no,january,australia,summer
188,other_activities,no,january,,summer
189,other_activities,no,january,australia,summer
190,surfing,no,december,,summer
191,swimming,no,december,australia,summer
192,surfing,no,december,,summer
193,swimming,no,december,australia,summer
194,fishing,no,december,,summer
195,surfing,no,december,,summer
196,surfing,no,december,australia,summer
197,surfing,no,december,australia,summer
198,fishing,no,november,australia,spring
199,other_activities,no,november,,spring
200,surfing,no,october,,spring
201,surfing,no,october,,spring
202,surfing,no,october,australia,spring
203,surfing,no,october,,spring
204,surfing,no,october,australia,spring
205,swimming,no,october,,spring
206,swimming,no,october,,spring
207,surfing,no,october,australia,spring
208,surfing,no,october,,spring
209,surfing,no,october,,spring
210,surfing,no,october,,spring
211,surfing,no,september,australia,spring
212,surfing,no,september,,spring
213,surfing,no,september,,spring
214,surfing,no,september,,spring
215,surfing,no,september,,spring
216,surfing,no,september,australia,spring
217,surfing,no,september,australia,spring
218,fishing,no,september,australia,spring
219,other_activities,no,september,,spring
220,swimming,no,september,,spring
221,surfing,yes,september,,spring
222,other_activities,no,september,,spring
223,surfing,no,september,australia,spring
224,other_activities,no,september,,spring
225,fishing,no,september,,spring
226,swimming,no,september,,spring
227,surfing,no,august,,winter
228,surfing,no,august,,winter
229,surfing,no,august,,winter
230,other_activities,no,august,,winter
231,swimming,no,august,,winter
232,other_activities,no,august,,winter
233,surfing,no,august,,winter
234,swimming,no,july,,winter
235,swimming,no,july,,winter
236,other_activities,no,july,australia,winter
237,other_activities,no,july,,winter
238,surfing,no,july,australia,winter
239,surfing,no,july,,winter
240,surfing,no,july,australia,winter
241,fishing,no,july,,winter
242,fishing,no,july,australia,winter
243,fishing,no,july,,winter
244,surfing,no,july,,winter
245,other_activities,no,july,,winter
246,surfing,no,july,,winter
247,swimming,no,july,,winter
248,swimming,no,july,,winter
249,other_activities,no,july,,winter
250,fishing,no,july,,winter
251,fishing,no,july,,winter
252,fishing,no,july,,winter
253,swimming,no,july,,winter
254,fishing,no,july,australia,winter
255,other_activities,no,june,,winter
256,surfing,no,june,,winter
257,swimming,no,june,,winter
258,fishing,no,june,,winter
259,other_activities,no,june,,winter
260,other_activities,no,june,,winter
261,surfing,no,june,,winter
262,fishing,no,june,australia,winter
263,other_activities,no,june,,winter
264,other_activities,no,june,,winter
265,surfing,no,june,,winter
266,swimming,no,june,,winter
267,swimming,yes,june,australia,winter
268,swimming,no,june,,winter
269,fishing,no,june,australia,winter
270,surfing,no,june,,winter
271,surfing,yes,may,australia,autumn
272,swimming,no,may,,autumn
273,swimming,no,may,,autumn
274,swimming,no,may,,autumn
275,swimming,no,may,,autumn
276,swimming,no,may,,autumn
277,swimming,no,may,,autumn
278,other_activities,no,may,,autumn
279,other_activities,no,may,,autumn
280,fishing,no,may,,autumn
281,surfing,no,april,,autumn
282,surfing,no,april,,autumn
283,surfing,no,april,,autumn
284,swimming,no,april,australia,autumn
285,fishing,,april,,autumn
286,fishing,no,april,,autumn
287,fishing,no,april,,autumn
288,other_activities,yes,april,,autumn
289,other_activities,no,april,,autumn
290,fishing,no,april,,autumn
291,other_activities,no,april,,autumn
292,swimming,no,march,,autumn
293,surfing,no,march,australia,autumn
294,other_activities,no,march,,autumn
295,surfing,no,march,australia,autumn
296,other_activities,no,march,,autumn
297,surfing,no,march,,autumn
298,surfing,no,march,,autumn
299,swimming,yes,march,,autumn
300,other_activities,no,march,,autumn
301,fishing,no,march,australia,autumn
302,swimming,no,march,,autumn
303,surfing,no,february,,summer
304,fishing,no,february,,summer
305,other_activities,no,february,,summer
306,other_activities,no,february,,summer
307,surfing,no,february,australia,summer
308,other_activities,no,february,australia,summer
309,surfing,no,february,australia,summer
310,swimming,no,february,,summer
311,fishing,no,january,,summer
312,surfing,no,january,,summer
313,surfing,no,january,,summer
314,fishing,no,january,,summer
315,fishing,no,january,,summer
316,other_activities,no,january,,summer
317,surfing,no,january,australia,summer
318,other_activities,no,january,australia,summer
319,fishing,no,january,australia,summer
320,fishing,no,december,,summer
321,swimming,no,december,,summer
322,other_activities,no,december,,summer
323,surfing,no,december,australia,summer
324,swimming,no,december,,summer
325,other_activities,yes,december,,summer
326,fishing,no,december,australia,summer
327,fishing,no,december,,summer
328,swimming,no,december,,summer
329,swimming,no,november,,spring
330,surfing,no,november,,spring
331,swimming,no,november,,spring
332,surfing,no,november,,spring
333,surfing,no,november,australia,spring
334,surfing,no,november,,spring
335,swimming,no,november,,spring
336,other_activities,no,november,,spring
337,fishing,no,november,,spring
338,fishing,no,october,australia,spring
339,other_activities,no,october,,spring
340,surfing,no,october,,spring
341,surfing,no,october,,spring
342,surfing,no,october,,spring
343,fishing,yes,october,,spring
344,surfing,no,october,,spring
345,swimming,no,october,,spring
346,fishing,no,october,,spring
347,other_activities,no,october,,spring
348,surfing,no,october,,spring
349,fishing,no,october,,spring
350,surfing,no,october,australia,spring
351,other_activities,no,october,,spring
352,other_activities,no,october,,spring
353,surfing,no,october,,spring
354,surfing,no,september,,spring
355,swimming,no,september,australia,spring
356,fishing,no,september,,spring
357,surfing,no,september,,spring
358,fishing,no,september,,spring
359,other_activities,no,september,,spring
360,fishing,no,september,,spring
361,fishing,no,september,,spring
362,swimming,no,september,,spring
363,surfing,no,september,,spring
364,surfing,no,september,australia,spring
365,other_activities,no,september,,spring
366,fishing,no,september,,spring
367,surfing,no,september,australia,spring
368,other_activities,no,september,,spring
369,other_activities,no,september,,spring
370,fishing,no,september,,spring
371,surfing,no,august,,winter
372,surfing,no,august,,winter
373,other_activities,no,august,,winter
374,surfing,no,august,australia,winter
375,surfing,no,august,,winter
376,other_activities,no,august,,winter
377,fishing,no,august,,winter
378,swimming,no,august,,winter
379,fishing,no,august,,winter
380,surfing,no,july,australia,winter
381,surfing,no,july,,winter
382,surfing,no,july,australia,winter
383,surfing,no,july,,winter
384,other_activities,no,july,,winter
385,swimming,yes,july,australia,winter
386,fishing,no,july,,winter
387,surfing,no,july,australia,winter
388,surfing,no,july,,winter
389,surfing,no,july,,winter
390,surfing,no,july,,winter
391,other_activities,no,july,,winter
