,activity,fatal_(y/n)
0,,no
1,,no
2,surfing,no
3,surfing,no
4,swimming,no
5,surfing,no
6,swimming,yes
7,fishing,no
8,,no
9,,no
10,,no
11,,no
12,swimming,no
13,fishing,no
14,,no
15,surfing,no
16,surfing,no
17,swimming,no
18,swimming,no
19,surfing,no
20,surfing,no
21,surfing,no
22,surfing,no
23,fishing,no
24,,no
25,,no
26,swimming,no
27,swimming,no
28,surfing,no
29,surfing,no
30,surfing,no
31,fishing,no
32,surfing,no
33,swimming,no
34,surfing,no
35,,no
36,,no
37,swimming,no
38,surfing,no
39,swimming,no
40,swimming,no
41,fishing,no
42,,no
43,swimming,no
44,fishing,no
45,swimming,no
46,fishing,no
47,,no
48,fishing,no
49,swimming,no
50,swimming,no
51,surfing,no
52,surfing,no
53,surfing,no
54,surfing,no
55,fishing,no
56,swimming,no
57,swimming,no
58,swimming,yes
59,boat,yes
60,fishing,no
61,surfing,no
62,surfing,no
63,surfing,no
64,swimming,yes
65,swimming,no
66,surfing,no
67,,no
68,swimming,no
69,surfing,no
70,swimming,no
71,fishing,no
72,,no
73,swimming,no
74,surfing,no
75,swimming,no
76,swimming,no
77,surfing,no
78,surfing,no
79,surfing,no
80,surfing,no
81,surfing,no
82,surfing,no
83,surfing,no
84,swimming,no
85,fishing,no
86,fishing,no
87,surfing,no
88,swimming,no
89,surfing,no
90,fishing,no
91,swimming,yes
92,surfing,no
93,swimming,no
94,swimming,no
95,surfing,no
96,surfing,no
97,,no
98,swimming,no
99,,no
100,,no
101,fishing,no
102,swimming,no
103,swimming,no
104,fishing,no
105,fishing,no
106,,no
107,swimming,no
108,,no
109,swimming,no
110,fishing,no
111,surfing,no
112,,no
113,swimming,no
114,,no
115,swimming,no
116,,no
117,,no
118,surfing,no
119,surfing,no
120,,no
121,swimming,no
122,fishing,no
123,surfing,no
124,fishing,no
125,fishing,no
126,swimming,no
127,surfing,no
128,swimming,no
129,,no
130,swimming,no
131,surfing,no
132,,no
133,,no
134,surfing,no
135,surfing,no
136,surfing,no
137,fishing,no
138,swimming,no
139,,no
140,,no
141,fishing,no
142,fishing,no
143,,no
144,swimming,yes
145,surfing,no
146,swimming,no
147,surfing,no
148,surfing,no
149,,yes
150,,no
151,,no
152,swimming,no
153,swimming,no
154,,no
155,surfing,yes
156,surfing,no
157,surfing,no
158,surfing,no
159,swimming,no
160,surfing,no
161,,no
162,swimming,no
163,swimming,no
164,swimming,no
165,,no
166,swimming,no
167,surfing,no
168,,no
169,,no
170,fishing,no
171,,no
172,swimming,no
173,surfing,no
174,,yes
175,fishing,no
176,swimming,no
177,,no
178,fishing,no
179,,no
180,swimming,no
181,swimming,no
182,,no
183,swimming,no
184,swimming,no
185,,no
186,surfing,no
187,fishing,no
188,,no
189,,no
190,surfing,no
191,swimming,no
192,surfing,no
193,swimming,no
194,fishing,no
195,surfing,no
196,surfing,no
197,surfing,no
198,fishing,no
199,,no
200,surfing,no
201,surfing,no
202,surfing,no
203,surfing,no
204,surfing,no
205,swimming,no
206,swimming,no
207,surfing,no
208,surfing,no
209,surfing,no
210,surfing,no
211,surfing,no
212,surfing,no
213,surfing,no
214,surfing,no
215,surfing,no
216,surfing,no
217,surfing,no
218,fishing,no
219,,no
220,swimming,no
221,surfing,yes
222,,no
223,surfing,no
224,,no
225,fishing,no
226,swimming,no
227,surfing,no
228,surfing,no
229,surfing,no
230,,no
231,swimming,no
232,,no
233,surfing,no
234,swimming,no
235,swimming,no
236,,no
237,,no
238,surfing,no
239,surfing,no
240,surfing,no
241,fishing,no
242,fishing,no
243,fishing,no
244,surfing,no
245,,no
246,surfing,no
247,swimming,no
248,swimming,no
249,,no
250,fishing,no
251,fishing,no
252,fishing,no
253,swimming,no
254,fishing,no
255,,no
256,surfing,no
257,swimming,no
258,fishing,no
259,,no
260,,no
261,surfing,no
262,fishing,no
263,,no
264,,no
265,surfing,no
266,swimming,no
267,swimming,yes
268,swimming,no
269,fishing,no
270,surfing,no
271,surfing,yes
272,swimming,no
273,swimming,no
274,swimming,no
275,swimming,no
276,swimming,no
277,swimming,no
278,,no
279,,no
280,fishing,no
281,surfing,no
282,surfing,no
283,surfing,no
284,swimming,no
285,fishing,unknown
286,fishing,no
287,fishing,no
288,,yes
289,,no
290,fishing,no
291,,no
292,swimming,no
293,surfing,no
294,,no
295,surfing,no
296,,no
297,surfing,no
298,surfing,no
299,swimming,yes
300,,no
301,fishing,no
302,swimming,no
303,surfing,no
304,fishing,no
305,,no
306,,no
307,surfing,no
308,,no
309,surfing,no
310,swimming,no
311,fishing,no
312,surfing,no
313,surfing,no
314,fishing,no
315,fishing,no
316,,no
317,surfing,no
318,,no
319,fishing,no
320,fishing,no
321,swimming,no
322,,no
323,surfing,no
324,swimming,no
325,,yes
326,fishing,no
327,fishing,no
328,swimming,no
329,swimming,no
330,surfing,no
331,swimming,no
332,surfing,no
333,surfing,no
334,surfing,no
335,swimming,no
336,,no
337,fishing,no
338,fishing,no
339,,no
340,surfing,no
341,surfing,no
342,surfing,no
343,fishing,yes
344,surfing,no
345,swimming,no
346,fishing,no
347,,no
348,surfing,no
349,fishing,no
350,surfing,no
351,,no
352,,no
353,surfing,no
354,surfing,no
355,swimming,no
356,fishing,no
357,surfing,no
358,fishing,no
359,,no
360,fishing,no
361,fishing,no
362,swimming,no
363,surfing,no
364,surfing,no
365,,no
366,fishing,no
367,surfing,no
368,,no
369,,no
370,fishing,no
371,surfing,no
372,surfing,no
373,,no
374,surfing,no
375,surfing,no
376,,no
377,fishing,no
378,swimming,no
379,fishing,no
380,surfing,no
381,surfing,no
382,surfing,no
383,surfing,no
384,,no
385,swimming,yes
386,fishing,no
387,surfing,no
388,surfing,no
389,surfing,no
390,surfing,no
391,,no
392,swimming,no
393,fishing,no
394,,no
395,surfing,no
396,,no
397,swimming,no
398,surfing,no
399,,no
400,swimming,no
401,,no
402,swimming,no
403,surfing,no
404,,no
405,swimming,no
406,surfing,no
407,swimming,no
408,surfing,no
409,,no
410,fishing,no
411,swimming,no
412,,no
413,,no
414,,no
415,,no
416,,no
417,,no
418,surfing,no
419,,no
420,,no
421,fishing,no
422,swimming,no
423,surfing,no
424,,no
425,swimming,yes
426,swimming,no
427,surfing,no
428,swimming,no
429,swimming,yes
430,,no
431,surfing,no
432,surfing,no
433,,no
434,surfing,yes
435,,no
436,fishing,no
437,swimming,no
438,surfing,no
439,fishing,no
440,swimming,yes
441,swimming,no
442,,no
443,fishing,no
444,fishing,no
445,,no
446,,no
447,swimming,yes
448,surfing,yes
449,surfing,no
450,surfing,no
451,,no
452,fishing,no
453,surfing,no
454,,no
455,fishing,no
456,surfing,no
457,fishing,no
458,,no
459,swimming,no
460,swimming,no
461,surfing,no
462,,no
463,surfing,no
464,fishing,yes
465,,no
466,swimming,no
467,surfing,no
468,fishing,no
469,swimming,no
470,fishing,yes
471,fishing,no
472,surfing,no
473,fishing,yes
474,fishing,no
475,,no
476,surfing,no
477,swimming,no
478,surfing,no
479,surfing,no
480,surfing,no
481,surfing,no
482,,no
483,,no
484,,no
485,surfing,no
486,surfing,no
487,,no
488,surfing,no
489,,no
490,surfing,no
491,fishing,no
492,surfing,no
493,,no
494,,no
495,surfing,no
496,surfing,no
497,surfing,no
498,fishing,no
499,surfing,no
500,swimming,yes
501,fishing,no
502,,no
503,fishing,no
504,,no
505,surfing,no
506,surfing,no
507,,no
508,fishing,no
509,swimming,no
510,surfing,no
511,,no
512,fishing,no
513,,no
514,fishing,no
515,,no
516,,no
517,fishing,no
518,swimming,no
519,swimming,no
520,,no
521,swimming,no
522,surfing,no
523,,no
524,surfing,no
525,,no
526,swimming,no
527,surfing,no
528,,no
529,,no
530,swimming,no
531,swimming,no
532,swimming,no
533,surfing,no
534,surfing,no
535,swimming,no
536,surfing,no
537,surfing,no
538,,no
539,fishing,no
540,surfing,no
541,,no
542,,no
543,fishing,no
544,,no
545,,no
546,surfing,no
547,,no
548,swimming,no
549,surfing,no
550,,no
551,,no
552,swimming,no
553,,no
554,,no
555,surfing,no
556,,no
557,surfing,no
558,swimming,no
559,swimming,no
560,swimming,no
561,surfing,no
562,fishing,no
563,swimming,no
564,,no
565,,no
566,fishing,no
567,surfing,no
568,surfing,no
569,swimming,yes
570,swimming,no
571,swimming,yes
572,surfing,no
573,surfing,no
574,surfing,no
575,surfing,no
576,,no
577,swimming,no
578,swimming,no
579,surfing,no
580,surfing,no
581,boat,no
582,swimming,yes
583,fishing,no
584,surfing,no
585,fishing,no
586,fishing,no
587,,no
588,swimming,no
589,,no
590,swimming,no
591,surfing,no
592,fishing,no
